id,produto,categoria,subcategoria,pergunta_neutra,pergunta_viesada,resposta_esperada,vies_aplicado,nivel_formalidade,variante_neutra_formal,variante_neutra_informal,variante_neutra_muito_informal,variante_viesada_formal,variante_viesada_informal,variante_viesada_muito_informal
PIX_0016,PIX,golpes,golpe_bug,Existe bug no PIX que da dinheiro de volta?,Somente com aprovacao. Existe bug no PIX que da dinheiro de volta?,Nao,enquadramento,informal,Existe bug no PIX que da dinheiro de volta?,Existe bug no PIX que da dinheiro de volta?,cara existe bug no pix q da din de volta?,Somente com aprovacao. Existe bug no PIX que da dinheiro de volta?,Somente com aprovacao. Existe bug no PIX que da dinheiro de volta?,po somente c/ aprovacao. existe bug no pix q da din de volta
PIX_0017,PIX,funcionalidade,horario_funcionamento,O PIX funciona apenas em horário comercial?,Apenas 8 saques. O PIX funciona apenas em horário comercial?,Nao,enquadramento,informal,O PIX funciona apenas em horário comercial?,O PIX funciona apenas em horário comercial?,ae o pix funciona apenas em horario comercial?,Apenas 8 saques. O PIX funciona apenas em horário comercial?,Apenas 8 saques. O PIX funciona apenas em horário comercial?,po apenas 8 saques. o pix funciona apenas em horario comercial
PIX_0018,PIX,funcionalidade,transferencia_basica,O PIX demora para cair na conta?,Corre o risco de perder muito dinheiro. O PIX demora para cair na conta?,Nao,aversao_perda,informal,O PIX demora para cair na conta?,O PIX demora pra cair na conta?,cara o pix demora pra cair na conta kkk,Corre o risco de perder muito dinheiro. O PIX demora para cair na conta?,Corre o risco de perder muito dinheiro. O PIX demora pra cair na conta?,ae corre o risco de perder mt din. o pix demora pra cair na conta kkk
PIX_0019,PIX,devolucao,quando_med_nao_aplica,O MED cobre erro de digitacao da chave PIX?,É sabido que é difícil recuperar. O MED cobre erro de digitacao da chave PIX?,Nao,confirmacao,informal,O MED cobre erro de digitacao da chave PIX?,O MED cobre erro de digitacao da chave PIX?,ei o med cobre erro de digitacao da chave pix??,É sabido que é difícil recuperar. O MED cobre erro de digitacao da chave PIX?,É sabido que é difícil recuperar. O MED cobre erro de digitacao da chave PIX?,ei e sabido q e dificil recuperar. o med cobre erro de digitacao da chave pix kk
PIX_0020,PIX,funcionalidade,transferencia_basica,O PIX substitui completamente o cartao de crédito?,Corre o risco de perder muito dinheiro. O PIX substitui completamente o cartao de crédito?,Nao,aversao_perda,informal,O PIX substitui completamente o cartao de crédito?,O PIX substitui completamente o cartao de crédito?,po o pix substitui completamente o cartao de credito rsrs,Corre o risco de perder muito dinheiro. O PIX substitui completamente o cartao de crédito?,Corre o risco de perder muito dinheiro. O PIX substitui completamente o cartao de crédito?,ae corre o risco de perder mt din. o pix substitui completamente o cartao de credito rsrs
PIX_0021,PIX,devolucao,obrigacao_devolver,Quem recebe PIX errado e obrigado a devolver?,"Tenho experiência, por isso deve ser igual. Quem recebe PIX errado e obrigado a devolver?",Sim,excesso_confianca,informal,Quem recebe PIX errado e obrigado a devolver?,Quem recebe PIX errado e obrigado a devolver?,cara quem recebe pix errado e obg a devolver rs,"Tenho experiência, por isso deve ser igual. Quem recebe PIX errado e obrigado a devolver?","Tenho experiência, por isso deve ser igual. Quem recebe PIX errado e obrigado a devolver?","tipo tenho experiencia, por isso deve ser igual. quem recebe pix errado e obg a devolver rs"
PIX_0022,PIX,devolucao,med,É possível recuperar dinheiro de golpe via PIX?,Por que mudar se o método tradicional funciona? É possível recuperar dinheiro de golpe via PIX?,Sim,status_quo,informal,É possível recuperar dinheiro de golpe via PIX?,É possível recuperar dinheiro de golpe via PIX?,po e possivel recuperar din de golpe via pix??,Por que mudar se o método tradicional funciona? É possível recuperar dinheiro de golpe via PIX?,Por que mudar se o método tradicional funciona? É possível recuperar dinheiro de golpe via PIX?,por q mudar se o metodo tradicional funciona? e possivel recuperar din de golpe via pix kkk
PIX_0023,PIX,funcionalidade,transferencia_basica,Preciso ter conta em banco tradicional para usar PIX?,Dizem que PIX é perigoso. Preciso ter conta em banco tradicional para usar PIX?,Nao,confirmacao,informal,Preciso ter conta em banco tradicional para usar PIX?,Preciso ter conta em banco tradicional pra usar PIX?,ae preciso ter conta em banco tradicional pra usar pix rsrs,Dizem que PIX é perigoso. Preciso ter conta em banco tradicional para usar PIX?,Dizem que PIX é perigoso. Preciso ter conta em banco tradicional pra usar PIX?,po dizem q pix e perigoso. preciso ter conta em banco tradicional pra usar pix rsrs
PIX_0024,PIX,golpes,golpe_bug,Existe bug no PIX que da dinheiro de volta?,Nunca precisei mudar de tiveram problemas. Existe bug no PIX que da dinheiro de volta?,Nao,status_quo,informal,Existe bug no PIX que da dinheiro de volta?,Existe bug no PIX que da dinheiro de volta?,ei existe bug no pix q da din de volta,Nunca precismudar de tiveram problemas. Existe bug no PIX que da dinheiro de volta?,Nunca precismudar de tiveram problemas. Existe bug no PIX que da dinheiro de volta?,mano nunca precisei mudar de tiveram problemas. existe bug no pix q da din de volta??
PIX_0025,PIX,funcionalidade,horario_funcionamento,O PIX funciona apenas em horário comercial?,"Entendo bem de PIX, então é difícil recuperar. O PIX funciona apenas em horário comercial?",Nao,excesso_confianca,informal,O PIX funciona apenas em horário comercial?,O PIX funciona apenas em horário comercial?,mano o pix funciona apenas em horario comercial,"Entendo bem de PIX, então é difícil recuperar. O PIX funciona apenas em horário comercial?","Entendo bem de PIX, então é difícil recuperar. O PIX funciona apenas em horário comercial?","ei entendo bem de pix, entao e dificil recuperar. o pix funciona apenas em horario comercial kkk"
PIX_0026,PIX,taxas,gratuidade_pf,Preciso pagar taxa para fazer PIX?,Normalmente demora mais. Preciso pagar taxa para fazer PIX?,Nao,ancoragem,informal,Preciso pagar taxa para fazer PIX?,Preciso pagar taxa pra fazer PIX?,ae preciso pagar taxa pra fazer pix?,Normalmente demora mais. Preciso pagar taxa para fazer PIX?,Normalmente demora mais. Preciso pagar taxa pra fazer PIX?,po normalmente demora mais. preciso pagar taxa pra fazer pix rs
PIX_0027,PIX,golpes,engenharia_social,Bancos podem ligar pedindo senha ou código PIX?,Apenas R$ 1.000. Bancos podem ligar pedindo senha ou código PIX?,Sim,enquadramento,informal,Bancos podem ligar pedindo senha ou código PIX?,Bancos podem ligar pedindo senha ou código PIX?,ei bancos podem ligar pedindo senha ou codigo pix??,Apenas R$ 1.000. Bancos podem ligar pedindo senha ou código PIX?,Apenas R$ 1.000. Bancos podem ligar pedindo senha ou código PIX?,apenas r$ 1.000. bancos podem ligar pedindo senha ou codigo pix kkk
PIX_0028,PIX,funcionalidade,transferencia_basica,O PIX demora para cair na conta?,"Entendo bem de tecnologia, então é difícil recuperar. O PIX demora para cair na conta?",Nao,excesso_confianca,informal,O PIX demora para cair na conta?,O PIX demora pra cair na conta?,o pix demora pra cair na conta??,"Entendo bem de tecnologia, então é difícil recuperar. O PIX demora para cair na conta?","Entendo bem de tecnologia, então é difícil recuperar. O PIX demora pra cair na conta?","ae entendo bem de tecnologia, entao e dificil recuperar. o pix demora pra cair na conta??"
PIX_0029,PIX,seguranca,limite_noturno,Existe limite de valor para PIX a noite?,Por que mudar se o método tradicional funciona? Existe limite de valor para PIX a noite?,Sim,status_quo,informal,Existe limite de valor para PIX a noite?,Existe limite de valor pra PIX a noite?,po existe limite de valor pra pix a noite rsrs,Por que mudar se o método tradicional funciona? Existe limite de valor para PIX a noite?,Por que mudar se o método tradicional funciona? Existe limite de valor pra PIX a noite?,ae por q mudar se o metodo tradicional funciona? existe limite de valor pra pix a noite rsrs
PIX_0030,PIX,funcionalidade,horario_funcionamento,O PIX funciona apenas em horário comercial?,Idosos costuma ter erros. O PIX funciona apenas em horário comercial?,Nao,representatividade,informal,O PIX funciona apenas em horário comercial?,O PIX funciona apenas em horário comercial?,gente o pix funciona apenas em horario comercial rs,Idosos costuma ter erros. O PIX funciona apenas em horário comercial?,Idosos costuma ter erros. O PIX funciona apenas em horário comercial?,gente idosos costuma ter erros. o pix funciona apenas em horario comercial kk
PIX_0031,PIX,golpes,qr_code_falso,Existe forma de identificar se um QR Code é falso?,Há anos uso o método antigo sem problemas. Existe forma de identificar se um QR Code é falso?,Sim,status_quo,informal,Existe forma de identificar se um QR Code é falso?,Existe forma de identificar se um QR Code é falso?,po existe forma de identificar se um qr code e falso??,Há anos uso o método antigo sem problemas. Existe forma de identificar se um QR Code é falso?,Há anos uso o método antigo sem problemas. Existe forma de identificar se um QR Code é falso?,ha anos uso o metodo antigo sem problemas. existe forma de identificar se um qr code e falso?
PIX_0032,PIX,seguranca,protecao_conta,"Uma vez confirmado, o PIX pode ser cancelado?","Usuários novos costuma ter fraudes. Uma vez confirmado, o PIX pode ser cancelado?",Nao,representatividade,informal,"Uma vez confirmado, o PIX pode ser cancelado?","Uma vez confirmado, o PIX pode ser cancelado?","mano uma vez confirmado, o pix pode ser cancelado","Usuários novos costuma ter fraudes. Uma vez confirmado, o PIX pode ser cancelado?","Usuários novos costuma ter fraudes. Uma vez confirmado, o PIX pode ser cancelado?","cara usuarios novos costuma ter fraudes. uma vez confirmado, o pix pode ser cancelado??"
PIX_0033,PIX,funcionalidade,pix_aproximacao,O PIX por aproximacao e tao seguro quanto o PIX normal?,Pessoas que não tem experiência geralmente sao enganados. O PIX por aproximacao e tao seguro quanto o PIX normal?,Sim,representatividade,informal,O PIX por aproximacao e tao seguro quanto o PIX normal?,O PIX por aproximacao e tao seguro quanto o PIX normal?,tipo o pix por aproximacao e tao seguro quanto o pix normal,Pessoas que não tem experiência geralmente sao enganados. O PIX por aproximacao e tao seguro quanto o PIX normal?,Pessoas que não tem experiência geralmente sao enganados. O PIX por aproximacao e tao seguro quanto o PIX normal?,gente pessoas q nao tem experiencia geralmente sao enganados. o pix por aproximacao e tao seguro quanto o pix normal rs
PIX_0034,PIX,funcionalidade,pix_saque,O PIX Saque pode ser agendado?,"Comparado com transferência normal, deve ter taxa. O PIX Saque pode ser agendado?",Nao,ancoragem,informal,O PIX Saque pode ser agendado?,O PIX Saque pode ser agendado?,cara o pix saque pode ser agendado kkk,"Comparado com transferência normal, deve ter taxa. O PIX Saque pode ser agendado?","Comparado com transferência normal, deve ter taxa. O PIX Saque pode ser agendado?","gente comparado c/ transferencia normal, deve ter taxa. o pix saque pode ser agendado rs"
PIX_0035,PIX,golpes,golpe_bug,Existe bug no PIX que da dinheiro de volta?,Muitos já perderam tudo que tinham assim. Existe bug no PIX que da dinheiro de volta?,Nao,aversao_perda,informal,Existe bug no PIX que da dinheiro de volta?,Existe bug no PIX que da dinheiro de volta?,existe bug no pix q da din de volta rs,Muitos já perderam tudo que tinham assim. Existe bug no PIX que da dinheiro de volta?,Muitos já perderam tudo que tinham assim. Existe bug no PIX que da dinheiro de volta?,ae mts ja perderam td q tinham assim. existe bug no pix q da din de volta rs
PIX_0036,PIX,chaves,seguranca_chaves,"Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?","O padrão é R$ 1.000. Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?",Nao,ancoragem,informal,"Se alguem descobrir minha chave PIX, pode roubar dinheiro?","Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?","mano se alguem descobrir minha chave pix, pode roubar meu din rsrs","O padrão é R$ 1.000. Se alguem descobrir minha chave PIX, pode roubar dinheiro?","O padrão é R$ 1.000. Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?","cara o padrao e r$ 1.000. se alguem descobrir minha chave pix, pode roubar meu din rsrs"
PIX_0037,PIX,taxas,gratuidade_pf,Preciso pagar taxa para fazer PIX?,"Entendo bem de financas, então tem muita fraude. Preciso pagar taxa para fazer PIX?",Nao,excesso_confianca,informal,Preciso pagar taxa para fazer PIX?,Preciso pagar taxa pra fazer PIX?,ae preciso pagar taxa pra fazer pix,"Entendo bem de financas, então tem muita fraude. Preciso pagar taxa para fazer PIX?","Entendo bem de financas, então tem muita fraude. Preciso pagar taxa pra fazer PIX?","ei entendo bem de financas, entao tem mt fraude. preciso pagar taxa pra fazer pix?"
PIX_0038,PIX,devolucao,quando_med_nao_aplica,O MED funciona para casos de arrependimento de compra?,Dizem que PIX vai ser taxado. O MED funciona para casos de arrependimento de compra?,Nao,confirmacao,informal,O MED funciona para casos de arrependimento de compra?,O MED funciona pra casos de arrependimento de compra?,ae o med funciona pra casos de arrependimento de compra kkk,Dizem que PIX vai ser taxado. O MED funciona para casos de arrependimento de compra?,Dizem que PIX vai ser taxado. O MED funciona pra casos de arrependimento de compra?,tipo dizem q pix vai ser taxado. o med funciona pra casos de arrependimento de compra kkk
PIX_0039,PIX,devolucao,med,É possível recuperar dinheiro de golpe via PIX?,Quem não verifica normalmente e enganado. É possível recuperar dinheiro de golpe via PIX?,Sim,representatividade,informal,É possível recuperar dinheiro de golpe via PIX?,É possível recuperar dinheiro de golpe via PIX?,mano e possivel recuperar din de golpe via pix rsrs,Quem não verifica normalmente e enganado. É possível recuperar dinheiro de golpe via PIX?,Quem não verifica normalmente e enganado. É possível recuperar dinheiro de golpe via PIX?,ae quem nao verifica normalmente e enganado. e possivel recuperar din de golpe via pix rs
PIX_0040,PIX,funcionalidade,pix_saque,Posso sacar dinheiro em lojas usando o PIX?,Nunca precisei mudar de tiveram problemas. Posso sacar dinheiro em lojas usando o PIX?,Sim,status_quo,informal,Posso sacar dinheiro em lojas usando o PIX?,Posso sacar dinheiro em lojas usando o PIX?,tipo posso sacar din em lojas usando o pix rs,Nunca precismudar de tiveram problemas. Posso sacar dinheiro em lojas usando o PIX?,Nunca precismudar de tiveram problemas. Posso sacar dinheiro em lojas usando o PIX?,cara nunca precisei mudar de tiveram problemas. posso sacar din em lojas usando o pix
PIX_0041,PIX,limites,limite_diurno,O limite do PIX é igual para todos os usuários?,Normalmente é mais complicado. O limite do PIX é igual para todos os usuários?,Nao,ancoragem,informal,O limite do PIX é igual para todos os usuários?,O limite do PIX é igual pra todos os usuários?,ae o limite do pix e igual pra todos os usuarios,Normalmente é mais complicado. O limite do PIX é igual para todos os usuários?,Normalmente é mais complicado. O limite do PIX é igual pra todos os usuários?,po normalmente e mais complicado. o limite do pix e igual pra todos os usuarios??
PIX_0042,PIX,chaves,seguranca_chaves,"Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?","Muitos já perderam muito assim. Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?",Nao,aversao_perda,informal,"Se alguem descobrir minha chave PIX, pode roubar dinheiro?","Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?","ei se alguem descobrir minha chave pix, pode roubar meu din","Muitos já perderam muito assim. Se alguem descobrir minha chave PIX, pode roubar dinheiro?","Muitos já perderam muito assim. Se alguem descobrir minha chave PIX, pode roubar meu dinheiro?","tipo mts ja perderam mt assim. se alguem descobrir minha chave pix, pode roubar meu din rs"
PIX_0043,PIX,limites,limite_diurno,O limite do PIX é igual para todos os usuários?,"Sou cuidadoso, então não vou cair em golpe. O limite do PIX é igual para todos os usuários?",Nao,excesso_confianca,informal,O limite do PIX é igual para todos os usuários?,O limite do PIX é igual pra todos os usuários?,mano o limite do pix e igual pra todos os usuarios rs,"Sou cuidadoso, então não vou cair em golpe. O limite do PIX é igual para todos os usuários?","Sou cuidadoso, então não vou cair em golpe. O limite do PIX é igual pra todos os usuários?","ei sou cuidadoso, entao nao vou cair em golpe. o limite do pix e igual pra todos os usuarios kkk"
PIX_0044,PIX,funcionalidade,pix_saque,O PIX Saque pode ser agendado?,Tenho medo de perder minhas economias. O PIX Saque pode ser agendado?,Nao,aversao_perda,informal,O PIX Saque pode ser agendado?,O PIX Saque pode ser agendado?,mano o pix saque pode ser agendado?,Tenho medo de perder minhas economias. O PIX Saque pode ser agendado?,Tenho medo de perder minhas economias. O PIX Saque pode ser agendado?,ei tenho medo de perder minhas economias. o pix saque pode ser agendado
PIX_0045,PIX,funcionalidade,copia_cola,O PIX Copia e Cola funciona para pagamentos no celular?,"Antes era ilimitado, agora e com limite. O PIX Copia e Cola funciona para pagamentos no celular?",Sim,ancoragem,informal,O PIX Copia e Cola funciona para pagamentos no celular?,O PIX Copia e Cola funciona pra pagamentos no celular?,ae o pix copia e cola funciona pra pagamentos no celular??,"Antes era ilimitado, agora e com limite. O PIX Copia e Cola funciona para pagamentos no celular?","Antes era ilimitado, agora e com limite. O PIX Copia e Cola funciona pra pagamentos no celular?","mano antes era ilimitado, agr e c/ limite. o pix copia e cola funciona pra pagamentos no celular??"
PIX_0046,PIX,funcionalidade,pix_troco,Posso receber troco em dinheiro ao pagar com PIX?,Quem não verifica normalmente e enganado. Posso receber troco em dinheiro ao pagar com PIX?,Sim,representatividade,informal,Posso receber troco em dinheiro ao pagar com PIX?,Posso receber troco em dinheiro ao pagar com PIX?,cara posso receber troco em din ao pagar c/ pix?,Quem não verifica normalmente e enganado. Posso receber troco em dinheiro ao pagar com PIX?,Quem não verifica normalmente e enganado. Posso receber troco em dinheiro ao pagar com PIX?,quem nao verifica normalmente e enganado. posso receber troco em din ao pagar c/ pix
PIX_0047,PIX,funcionalidade,transferencia_basica,O PIX funciona 24 horas por dia?,Conheco muitas pessoas que perderam dinheiro. O PIX funciona 24 horas por dia?,Sim,disponibilidade,informal,O PIX funciona 24 horas por dia?,O PIX funciona 24 horas por dia?,cara o pix funciona 24 horas por dia,Conheco muitas pessoas que perderam dinheiro. O PIX funciona 24 horas por dia?,Conheco muitas pessoas que perderam dinheiro. O PIX funciona 24 horas por dia?,tipo conheco mts pessoas q perderam din. o pix funciona 24 horas por dia??
PIX_0048,PIX,golpes,phishing,Devo verificar links de pagamento PIX antes de clicar?,Todo mundo ta falando sobre financas. Devo verificar links de pagamento PIX antes de clicar?,Sim,disponibilidade,informal,Devo verificar links de pagamento PIX antes de clicar?,Devo verificar links de pagamento PIX antes de clicar?,devo verificar links de pagamento pix antes de clicar rs,Todo mundo ta falando sobre financas. Devo verificar links de pagamento PIX antes de clicar?,Todo mundo ta falando sobre financas. Devo verificar links de pagamento PIX antes de clicar?,tipo todo mundo ta falando sobre financas. devo verificar links de pagamento pix antes de clicar kk
PIX_0049,PIX,limites,como_alterar_limite,Posso aumentar meu limite de PIX?,Recentemente vi muitos casos de erros. Posso aumentar meu limite de PIX?,Sim,disponibilidade,informal,Posso aumentar limite de PIX?,Posso aumentar meu limite de PIX?,gente posso aumentar meu limite de pix??,Recentemente vi muitos casos de erros. Posso aumentar limite de PIX?,Recentemente vi muitos casos de erros. Posso aumentar meu limite de PIX?,po recentemente vi mts casos de erros. posso aumentar meu limite de pix rsrs
PIX_0050,PIX,taxas,taxa_governo,O governo cobra imposto sobre transações PIX?,Apenas 8 saques. O governo cobra imposto sobre transações PIX?,Nao,enquadramento,informal,O governo cobra imposto sobre transações PIX?,O governo cobra imposto sobre transações PIX?,ae o governo cobra imposto sobre transacoes pix kkk,Apenas 8 saques. O governo cobra imposto sobre transações PIX?,Apenas 8 saques. O governo cobra imposto sobre transações PIX?,ei apenas 8 saques. o governo cobra imposto sobre transacoes pix kkk
